"Stage","Scenario","Sales","Size","Lifetime","eol","Reuse","Scrap","Year","ktons","type","cap","deficit","deficit_trans","lab_def"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0","Ambitious","Reference","Short lifetime","Reference","0%","10%",2040,10788.1511762139,"Capacity",918.387361849208,9869.7638143647,99.346684969176,"9.9M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0","Ambitious","Reference","Short lifetime","Reference","0%","14%",2040,11199.2476004081,"Capacity",918.387361849208,10280.8602385589,101.394576968194,"10.3M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0","Ambitious","Reference","Short lifetime","Reference","0%","18%",2040,11610.3440246023,"Capacity",918.387361849208,10691.9566627531,103.401918080629,"10.7M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0","Ambitious","Reference","Short lifetime","Reference","0%","2%",2040,9965.95832782548,"Capacity",918.387361849208,9047.57096597627,95.1187203760452,"9M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0","Ambitious","Reference","Short lifetime","Reference","0%","22%",2040,12021.4404487966,"Capacity",918.387361849208,11103.0530869473,105.371025841772,"11.1M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0","Ambitious","Reference","Short lifetime","Reference","0%","6%",2040,10377.0547520197,"Capacity",918.387361849208,9458.66739017049,97.2556805033541,"9.5M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0Large","Ambitious","Large LIB","Short lifetime","100% LIB prod.","0%","10%",2040,13897.5648178954,"Capacity",918.387361849208,12979.1774560462,113.92619302007,"13M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0Large","Ambitious","Large LIB","Short lifetime","100% LIB prod.","0%","14%",2040,14773.1751477851,"Capacity",918.387361849208,13854.7877859359,117.706362555029,"13.9M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0Large","Ambitious","Large LIB","Short lifetime","100% LIB prod.","0%","18%",2040,15648.7854776747,"Capacity",918.387361849208,14730.3981158255,121.368851505753,"14.7M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0Large","Ambitious","Large LIB","Short lifetime","100% LIB prod.","0%","2%",2040,12146.3441581161,"Capacity",918.387361849208,11227.9567962669,105.962053567619,"11.2M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0Large","Ambitious","Large LIB","Short lifetime","100% LIB prod.","0%","22%",2040,16524.3958075643,"Capacity",918.387361849208,15606.0084457151,124.924010685357,"15.6M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0Large","Ambitious","Large LIB","Short lifetime","100% LIB prod.","0%","6%",2040,13021.9544880058,"Capacity",918.387361849208,12103.5671261566,110.016213014976,"12.1M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0Large","Ambitious","Large LIB","Short lifetime","Reference","0%","10%",2040,12734.6629574394,"Capacity",918.387361849208,11816.2755955902,108.702693598596,"11.8M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0Large","Ambitious","Large LIB","Short lifetime","Reference","0%","14%",2040,13145.1125431466,"Capacity",918.387361849208,12226.7251812974,110.574523201764,"12.2M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0Large","Ambitious","Large LIB","Short lifetime","Reference","0%","18%",2040,13555.5621288538,"Capacity",918.387361849208,12637.1747670046,112.415189218382,"12.6M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0Large","Ambitious","Large LIB","Short lifetime","Reference","0%","2%",2040,11913.7637860249,"Capacity",918.387361849208,10995.3764241757,104.858840467438,"11M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0Large","Ambitious","Large LIB","Short lifetime","Reference","0%","22%",2040,13966.011714561,"Capacity",918.387361849208,13047.6243527118,114.226198188996,"13M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0Large","Ambitious","Large LIB","Short lifetime","Reference","0%","6%",2040,12324.2133717321,"Capacity",918.387361849208,11405.8260098829,106.798061826435,"11.4M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0LargeRecycling","Ambitious","Large LIB","Short lifetime","Recycling","0%","10%",2040,12790.7769533836,"Capacity",918.387361849208,11872.3895915344,108.960495554739,"11.9M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0LargeRecycling","Ambitious","Large LIB","Short lifetime","Recycling","0%","14%",2040,13201.8340959086,"Capacity",918.387361849208,12283.4467340594,110.830712052479,"12.3M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0LargeRecycling","Ambitious","Large LIB","Short lifetime","Recycling","0%","18%",2040,13612.8912384336,"Capacity",918.387361849208,12694.5038765844,112.66988895257,"12.7M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0LargeRecycling","Ambitious","Large LIB","Short lifetime","Recycling","0%","2%",2040,11968.6626683336,"Capacity",918.387361849208,11050.2753064844,105.120289699393,"11.1M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0LargeRecycling","Ambitious","Large LIB","Short lifetime","Recycling","0%","22%",2040,14023.9483809587,"Capacity",918.387361849208,13105.5610191095,114.479522269747,"13.1M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0LargeRecycling","Ambitious","Large LIB","Short lifetime","Recycling","0%","6%",2040,12379.7198108586,"Capacity",918.387361849208,11461.3324490094,107.05761275598,"11.5M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0LargeRepurposing","Ambitious","Large LIB","Short lifetime","Repurposing","0%","10%",2040,12838.1705898487,"Capacity",918.387361849208,11919.7832279995,109.177759768185,"11.9M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0LargeRepurposing","Ambitious","Large LIB","Short lifetime","Repurposing","0%","14%",2040,13248.6763152805,"Capacity",918.387361849208,12330.2889534313,111.04183424922,"12.3M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0LargeRepurposing","Ambitious","Large LIB","Short lifetime","Repurposing","0%","18%",2040,13659.1820407123,"Capacity",918.387361849208,12740.7946788631,112.875128699209,"12.7M"
"Pre-processing (ktons of battery)","Ambitious_Short_reuse0LargeRepurposing","Ambitious","Large LIB","Short lifetime","Repurposing","0%","2%",2040,12017.1591389852,"Capacity",918.387361849208,11098.771777136,105.350708479516,"11.1M"
