"Vehicle","Country","Year","Stage","ktons"
"Buses","United States",2044,"Refining (ktons of black mass)",78.7939291056808
"Buses","United States",2045,"Pre-processing (ktons of battery)",286.771461488242
"Buses","United States",2045,"Refining (ktons of black mass)",86.0314384464725
"Buses","United States",2046,"Pre-processing (ktons of battery)",309.5320365525
"Buses","United States",2046,"Refining (ktons of black mass)",92.8596109657499
"Buses","United States",2047,"Pre-processing (ktons of battery)",330.371767227089
"Buses","United States",2047,"Refining (ktons of black mass)",99.1115301681268
"Buses","United States",2048,"Pre-processing (ktons of battery)",348.961534249801
"Buses","United States",2048,"Refining (ktons of black mass)",104.68846027494
"Buses","United States",2049,"Pre-processing (ktons of battery)",365.238207327374
"Buses","United States",2049,"Refining (ktons of black mass)",109.571462198212
"Buses","United States",2050,"Pre-processing (ktons of battery)",379.359191324341
"Buses","United States",2050,"Refining (ktons of black mass)",113.807757397302
"Consumer Electronics","Canada",2025,"Pre-processing (ktons of battery)",0.138660287810544
"Consumer Electronics","Canada",2025,"Refining (ktons of black mass)",0.044371292099374
"Consumer Electronics","Canada",2026,"Pre-processing (ktons of battery)",1.71312758606549
"Consumer Electronics","Canada",2026,"Refining (ktons of black mass)",0.548200827540956
"Consumer Electronics","Canada",2027,"Pre-processing (ktons of battery)",7.44530058177546
"Consumer Electronics","Canada",2027,"Refining (ktons of black mass)",2.38249618616815
"Consumer Electronics","Canada",2028,"Pre-processing (ktons of battery)",17.4087028746129
"Consumer Electronics","Canada",2028,"Refining (ktons of black mass)",5.57078491987613
"Consumer Electronics","Canada",2029,"Pre-processing (ktons of battery)",24.7471544450878
"Consumer Electronics","Canada",2029,"Refining (ktons of black mass)",7.9190894224281
"Consumer Electronics","Canada",2030,"Pre-processing (ktons of battery)",26.8965140109184
"Consumer Electronics","Canada",2030,"Refining (ktons of black mass)",8.60688448349388
"Consumer Electronics","Canada",2031,"Pre-processing (ktons of battery)",27.8779967057332
"Consumer Electronics","Canada",2031,"Refining (ktons of black mass)",8.92095894583463
"Consumer Electronics","Canada",2032,"Pre-processing (ktons of battery)",28.7813118563167
"Consumer Electronics","Canada",2032,"Refining (ktons of black mass)",9.21001979402133
"Consumer Electronics","Canada",2033,"Pre-processing (ktons of battery)",29.6839133093131
"Consumer Electronics","Canada",2033,"Refining (ktons of black mass)",9.49885225898019
"Consumer Electronics","Canada",2034,"Pre-processing (ktons of battery)",30.6909226429703
"Consumer Electronics","Canada",2034,"Refining (ktons of black mass)",9.82109524575051
"Consumer Electronics","Canada",2035,"Pre-processing (ktons of battery)",32.0188453177545
"Consumer Electronics","Canada",2035,"Refining (ktons of black mass)",10.2460305016815
"Consumer Electronics","Canada",2036,"Pre-processing (ktons of battery)",33.7348707444587
"Consumer Electronics","Canada",2036,"Refining (ktons of black mass)",10.7951586382268
"Consumer Electronics","Canada",2037,"Pre-processing (ktons of battery)",35.4102760121592
"Consumer Electronics","Canada",2037,"Refining (ktons of black mass)",11.3312883238909
"Consumer Electronics","Canada",2038,"Pre-processing (ktons of battery)",36.8274665373007
"Consumer Electronics","Canada",2038,"Refining (ktons of black mass)",11.7847892919362
"Consumer Electronics","Canada",2039,"Pre-processing (ktons of battery)",38.2196001584165
"Consumer Electronics","Canada",2039,"Refining (ktons of black mass)",12.2302720506933
"Consumer Electronics","Canada",2040,"Pre-processing (ktons of battery)",39.6599721762392
"Consumer Electronics","Canada",2040,"Refining (ktons of black mass)",12.6911910963965
"Consumer Electronics","Canada",2041,"Pre-processing (ktons of battery)",41.1241136219034
"Consumer Electronics","Canada",2041,"Refining (ktons of black mass)",13.1597163590091
"Consumer Electronics","Canada",2042,"Pre-processing (ktons of battery)",42.6172889962749
"Consumer Electronics","Canada",2042,"Refining (ktons of black mass)",13.637532478808
"Consumer Electronics","Canada",2043,"Pre-processing (ktons of battery)",44.0614231038383
"Consumer Electronics","Canada",2043,"Refining (ktons of black mass)",14.0996553932282
"Consumer Electronics","Canada",2044,"Pre-processing (ktons of battery)",45.1617621980573
"Consumer Electronics","Canada",2044,"Refining (ktons of black mass)",14.4517639033783
"Consumer Electronics","Canada",2045,"Pre-processing (ktons of battery)",45.6570055899894
"Consumer Electronics","Canada",2045,"Refining (ktons of black mass)",14.6102417887966
"Consumer Electronics","Canada",2046,"Pre-processing (ktons of battery)",45.73484943997
"Consumer Electronics","Canada",2046,"Refining (ktons of black mass)",14.6351518207904
"Consumer Electronics","Canada",2047,"Pre-processing (ktons of battery)",45.736759789095
"Consumer Electronics","Canada",2047,"Refining (ktons of black mass)",14.6357631325104
"Consumer Electronics","Canada",2048,"Pre-processing (ktons of battery)",45.7367625679253
"Consumer Electronics","Canada",2048,"Refining (ktons of black mass)",14.6357640217361
"Consumer Electronics","Canada",2049,"Pre-processing (ktons of battery)",45.7367625680037
"Consumer Electronics","Canada",2049,"Refining (ktons of black mass)",14.6357640217612
"Consumer Electronics","Canada",2050,"Pre-processing (ktons of battery)",45.7367625680037
"Consumer Electronics","Canada",2050,"Refining (ktons of black mass)",14.6357640217612
"Consumer Electronics","Mexico",2025,"Pre-processing (ktons of battery)",0.114622964042241
"Consumer Electronics","Mexico",2025,"Refining (ktons of black mass)",0.0366793484935172
"Consumer Electronics","Mexico",2026,"Pre-processing (ktons of battery)",1.41614996476609
"Consumer Electronics","Mexico",2026,"Refining (ktons of black mass)",0.453167988725148
"Consumer Electronics","Mexico",2027,"Pre-processing (ktons of battery)",6.15462750253743
"Consumer Electronics","Mexico",2027,"Refining (ktons of black mass)",1.96948080081198
"Consumer Electronics","Mexico",2028,"Pre-processing (ktons of battery)",14.3908335625644
"Consumer Electronics","Mexico",2028,"Refining (ktons of black mass)",4.60506674002061
"Consumer Electronics","Mexico",2029,"Pre-processing (ktons of battery)",20.4571347636522
"Consumer Electronics","Mexico",2029,"Refining (ktons of black mass)",6.54628312436872
"Consumer Electronics","Mexico",2030,"Pre-processing (ktons of battery)",22.2338941236548
"Consumer Electronics","Mexico",2030,"Refining (ktons of black mass)",7.11484611956955
"Consumer Electronics","Mexico",2031,"Pre-processing (ktons of battery)",23.0452328091013
"Consumer Electronics","Mexico",2031,"Refining (ktons of black mass)",7.37447449891242
"Consumer Electronics","Mexico",2032,"Pre-processing (ktons of battery)",23.7919546114216
"Consumer Electronics","Mexico",2032,"Refining (ktons of black mass)",7.61342547565491
"Consumer Electronics","Mexico",2033,"Pre-processing (ktons of battery)",24.5380864385289
"Consumer Electronics","Mexico",2033,"Refining (ktons of black mass)",7.85218766032924
"Consumer Electronics","Mexico",2034,"Pre-processing (ktons of battery)",25.3705266163518
"Consumer Electronics","Mexico",2034,"Refining (ktons of black mass)",8.11856851723258
"Consumer Electronics","Mexico",2035,"Pre-processing (ktons of battery)",26.4682485049045
"Consumer Electronics","Mexico",2035,"Refining (ktons of black mass)",8.46983952156946
"Consumer Electronics","Mexico",2036,"Pre-processing (ktons of battery)",27.8867939578712
"Consumer Electronics","Mexico",2036,"Refining (ktons of black mass)",8.92377406651877
"Consumer Electronics","Mexico",2037,"Pre-processing (ktons of battery)",29.2717609212904
"Consumer Electronics","Mexico",2037,"Refining (ktons of black mass)",9.36696349481294
"Consumer Electronics","Mexico",2038,"Pre-processing (ktons of battery)",30.443275715968
"Consumer Electronics","Mexico",2038,"Refining (ktons of black mass)",9.74184822910976
"Consumer Electronics","Mexico",2039,"Pre-processing (ktons of battery)",31.5940773226486
"Consumer Electronics","Mexico",2039,"Refining (ktons of black mass)",10.1101047432476
"Consumer Electronics","Mexico",2040,"Pre-processing (ktons of battery)",32.7847550041482
"Consumer Electronics","Mexico",2040,"Refining (ktons of black mass)",10.4911216013274
"Consumer Electronics","Mexico",2041,"Pre-processing (ktons of battery)",33.9950815866838
"Consumer Electronics","Mexico",2041,"Refining (ktons of black mass)",10.8784261077388
"Consumer Electronics","Mexico",2042,"Pre-processing (ktons of battery)",35.2294089485251
"Consumer Electronics","Mexico",2042,"Refining (ktons of black mass)",11.273410863528
"Consumer Electronics","Mexico",2043,"Pre-processing (ktons of battery)",36.4231965462371
"Consumer Electronics","Mexico",2043,"Refining (ktons of black mass)",11.6554228947959
"Consumer Electronics","Mexico",2044,"Pre-processing (ktons of battery)",37.3327873917665
"Consumer Electronics","Mexico",2044,"Refining (ktons of black mass)",11.9464919653653
"Consumer Electronics","Mexico",2045,"Pre-processing (ktons of battery)",37.7421783313205
"Consumer Electronics","Mexico",2045,"Refining (ktons of black mass)",12.0774970660226
"Consumer Electronics","Mexico",2046,"Pre-processing (ktons of battery)",37.8065276339084
"Consumer Electronics","Mexico",2046,"Refining (ktons of black mass)",12.0980888428507
"Consumer Electronics","Mexico",2047,"Pre-processing (ktons of battery)",37.8081068162576
"Consumer Electronics","Mexico",2047,"Refining (ktons of black mass)",12.0985941812024
"Consumer Electronics","Mexico",2048,"Pre-processing (ktons of battery)",37.8081091133665
"Consumer Electronics","Mexico",2048,"Refining (ktons of black mass)",12.0985949162773
"Consumer Electronics","Mexico",2049,"Pre-processing (ktons of battery)",37.8081091134312
"Consumer Electronics","Mexico",2049,"Refining (ktons of black mass)",12.098594916298
"Consumer Electronics","Mexico",2050,"Pre-processing (ktons of battery)",37.8081091134312
"Consumer Electronics","Mexico",2050,"Refining (ktons of black mass)",12.098594916298
"Consumer Electronics","United States",2025,"Pre-processing (ktons of battery)",1.80559036845962
"Consumer Electronics","United States",2025,"Refining (ktons of black mass)",0.57778891790708
"Consumer Electronics","United States",2026,"Pre-processing (ktons of battery)",22.3078050549606
"Consumer Electronics","United States",2026,"Refining (ktons of black mass)",7.1384976175874
"Consumer Electronics","United States",2027,"Pre-processing (ktons of battery)",96.9503470172257
"Consumer Electronics","United States",2027,"Refining (ktons of black mass)",31.0241110455122
"Consumer Electronics","United States",2028,"Pre-processing (ktons of battery)",226.690617292851
"Consumer Electronics","United States",2028,"Refining (ktons of black mass)",72.5409975337123
"Consumer Electronics","United States",2029,"Pre-processing (ktons of battery)",322.24961031298
"Consumer Electronics","United States",2029,"Refining (ktons of black mass)",103.119875300154
"Consumer Electronics","United States",2030,"Pre-processing (ktons of battery)",350.237890098774
"Consumer Electronics","United States",2030,"Refining (ktons of black mass)",112.076124831608
"Consumer Electronics","United States",2031,"Pre-processing (ktons of battery)",363.01844701633
"Consumer Electronics","United States",2031,"Refining (ktons of black mass)",116.165903045226
"Consumer Electronics","United States",2032,"Pre-processing (ktons of battery)",374.781130920504
"Consumer Electronics","United States",2032,"Refining (ktons of black mass)",119.929961894561
"Consumer Electronics","United States",2033,"Pre-processing (ktons of battery)",386.534521280654
"Consumer Electronics","United States",2033,"Refining (ktons of black mass)",123.691046809809
"Consumer Electronics","United States",2034,"Pre-processing (ktons of battery)",399.647478007563
"Consumer Electronics","United States",2034,"Refining (ktons of black mass)",127.88719296242
"Consumer Electronics","United States",2035,"Pre-processing (ktons of battery)",416.939266662478
"Consumer Electronics","United States",2035,"Refining (ktons of black mass)",133.420565331993
"Consumer Electronics","United States",2036,"Pre-processing (ktons of battery)",439.284806480788
"Consumer Electronics","United States",2036,"Refining (ktons of black mass)",140.571138073852
"Consumer Electronics","United States",2037,"Pre-processing (ktons of battery)",461.101403448765
"Consumer Electronics","United States",2037,"Refining (ktons of black mass)",147.552449103605
"Consumer Electronics","United States",2038,"Pre-processing (ktons of battery)",479.555609789113
"Consumer Electronics","United States",2038,"Refining (ktons of black mass)",153.457795132516
"Consumer Electronics","United States",2039,"Pre-processing (ktons of battery)",497.683533058176
"Consumer Electronics","United States",2039,"Refining (ktons of black mass)",159.258730578616
"Consumer Electronics","United States",2040,"Pre-processing (ktons of battery)",516.439601457029
