"Scenario","scen_name","Year","Stage","ktons","capacity","net"
"Momentum_Short_reuse0","Short life",2032,"Refining (ktons of black mass)",639.094697759762,384.659890081212,-254.434807678549
"Momentum_Short_reuse0","Short life",2033,"Pre-processing (ktons of battery)",2677.30703371547,918.387361849208,-1758.91967186627
"Momentum_Short_reuse0","Short life",2033,"Refining (ktons of black mass)",777.900581658477,384.659890081212,-393.240691577265
"Momentum_Short_reuse0","Short life",2034,"Pre-processing (ktons of battery)",3244.87556081248,918.387361849208,-2326.48819896327
"Momentum_Short_reuse0","Short life",2034,"Refining (ktons of black mass)",939.727412811651,384.659890081212,-555.067522730438
"Momentum_Short_reuse0","Short life",2035,"Pre-processing (ktons of battery)",3895.37909996047,918.387361849208,-2976.99173811126
"Momentum_Short_reuse0","Short life",2035,"Refining (ktons of black mass)",1125.02926780582,384.659890081212,-740.36937772461
"Momentum_Short_reuse0","Short life",2036,"Pre-processing (ktons of battery)",4625.71569973523,918.387361849208,-3707.32833788602
"Momentum_Short_reuse0","Short life",2036,"Refining (ktons of black mass)",1333.05388477795,384.659890081212,-948.393994696737
"Momentum_Short_reuse0","Short life",2037,"Pre-processing (ktons of battery)",5422.73852250505,918.387361849208,-4504.35116065584
"Momentum_Short_reuse0","Short life",2037,"Refining (ktons of black mass)",1559.77211248374,384.659890081212,-1175.11222240252
"Momentum_Short_reuse0","Short life",2038,"Pre-processing (ktons of battery)",6280.8309661042,918.387361849208,-5362.443604255
"Momentum_Short_reuse0","Short life",2038,"Refining (ktons of black mass)",1803.68592076864,384.659890081212,-1419.02603068742
"Momentum_Short_reuse0","Short life",2039,"Pre-processing (ktons of battery)",7207.6965490821,918.387361849208,-6289.3091872329
"Momentum_Short_reuse0","Short life",2039,"Refining (ktons of black mass)",2067.46335846321,384.659890081212,-1682.80346838199
"Momentum_Short_reuse0","Short life",2040,"Pre-processing (ktons of battery)",8358.4209829238,918.387361849208,-7440.03362107459
