"Scenario","Region","Variable","Type","Year","Value"
"Canada Net-zero","Canada","Solar","Primary Fuel",2018,2719.857
"Canada Net-zero","Canada","Solar","Primary Fuel",2019,2739.857
"Canada Net-zero","Manitoba","Solar","Primary Fuel",2005,0
"Canada Net-zero","Manitoba","Solar","Primary Fuel",2006,0
"Canada Net-zero","Manitoba","Solar","Primary Fuel",2007,0
"Canada Net-zero","Manitoba","Solar","Primary Fuel",2008,0
"Canada Net-zero","Manitoba","Solar","Primary Fuel",2009,0
"Canada Net-zero","Manitoba","Solar","Primary Fuel",2010,0
"Canada Net-zero","Manitoba","Solar","Primary Fuel",2011,0
"Canada Net-zero","Manitoba","Solar","Primary Fuel",2012,0
"Canada Net-zero","Manitoba","Solar","Primary Fuel",2013,1
"Canada Net-zero","Manitoba","Solar","Primary Fuel",2014,2
"Canada Net-zero","Manitoba","Solar","Primary Fuel",2015,3
"Canada Net-zero","Manitoba","Solar","Primary Fuel",2016,4
"Canada Net-zero","Manitoba","Solar","Primary Fuel",2017,5
"Canada Net-zero","Manitoba","Solar","Primary Fuel",2018,6
"Canada Net-zero","Manitoba","Solar","Primary Fuel",2019,6
"Canada Net-zero","New Brunswick","Solar","Primary Fuel",2005,0
"Canada Net-zero","New Brunswick","Solar","Primary Fuel",2006,0
"Canada Net-zero","New Brunswick","Solar","Primary Fuel",2007,0
"Canada Net-zero","New Brunswick","Solar","Primary Fuel",2008,0
"Canada Net-zero","New Brunswick","Solar","Primary Fuel",2009,0
"Canada Net-zero","New Brunswick","Solar","Primary Fuel",2010,0
"Canada Net-zero","New Brunswick","Solar","Primary Fuel",2011,0
"Canada Net-zero","New Brunswick","Solar","Primary Fuel",2012,0
"Canada Net-zero","New Brunswick","Solar","Primary Fuel",2013,0.162
"Canada Net-zero","New Brunswick","Solar","Primary Fuel",2014,0.162
"Canada Net-zero","New Brunswick","Solar","Primary Fuel",2015,0.162
"Canada Net-zero","New Brunswick","Solar","Primary Fuel",2016,0.162
"Canada Net-zero","New Brunswick","Solar","Primary Fuel",2017,0.162
"Canada Net-zero","New Brunswick","Solar","Primary Fuel",2018,0.162
"Canada Net-zero","New Brunswick","Solar","Primary Fuel",2019,0.162
"Canada Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2005,0
"Canada Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2006,0
"Canada Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2007,0
"Canada Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2008,0
"Canada Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2009,0
"Canada Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2010,0
"Canada Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2011,0
"Canada Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2012,0
"Canada Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2013,0.015
"Canada Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2014,0.015
"Canada Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2015,0.015
"Canada Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2016,0.015
"Canada Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2017,0.015
"Canada Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2018,0.015
"Canada Net-zero","Newfoundland and Labrador","Solar","Primary Fuel",2019,0.015
"Canada Net-zero","Nova Scotia","Solar","Primary Fuel",2005,0
"Canada Net-zero","Nova Scotia","Solar","Primary Fuel",2006,0
"Canada Net-zero","Nova Scotia","Solar","Primary Fuel",2007,0
"Canada Net-zero","Nova Scotia","Solar","Primary Fuel",2008,0
"Canada Net-zero","Nova Scotia","Solar","Primary Fuel",2009,0
"Canada Net-zero","Nova Scotia","Solar","Primary Fuel",2010,0
"Canada Net-zero","Nova Scotia","Solar","Primary Fuel",2011,0
"Canada Net-zero","Nova Scotia","Solar","Primary Fuel",2012,0
"Canada Net-zero","Nova Scotia","Solar","Primary Fuel",2013,0.365
"Canada Net-zero","Nova Scotia","Solar","Primary Fuel",2014,0.365
"Canada Net-zero","Nova Scotia","Solar","Primary Fuel",2015,0.365
"Canada Net-zero","Nova Scotia","Solar","Primary Fuel",2016,0.365
"Canada Net-zero","Nova Scotia","Solar","Primary Fuel",2017,0.365
"Canada Net-zero","Nova Scotia","Solar","Primary Fuel",2018,0.365
"Canada Net-zero","Nova Scotia","Solar","Primary Fuel",2019,0.365
"Canada Net-zero","Northwest Territories","Solar","Primary Fuel",2005,0
"Canada Net-zero","Northwest Territories","Solar","Primary Fuel",2006,0
"Canada Net-zero","Northwest Territories","Solar","Primary Fuel",2007,0
"Canada Net-zero","Northwest Territories","Solar","Primary Fuel",2008,0
"Canada Net-zero","Northwest Territories","Solar","Primary Fuel",2009,0
"Canada Net-zero","Northwest Territories","Solar","Primary Fuel",2010,0
"Canada Net-zero","Northwest Territories","Solar","Primary Fuel",2011,0
"Canada Net-zero","Northwest Territories","Solar","Primary Fuel",2012,0
"Canada Net-zero","Northwest Territories","Solar","Primary Fuel",2013,0.265
"Canada Net-zero","Northwest Territories","Solar","Primary Fuel",2014,0.415
"Canada Net-zero","Northwest Territories","Solar","Primary Fuel",2015,0.815
"Canada Net-zero","Northwest Territories","Solar","Primary Fuel",2016,1.215
"Canada Net-zero","Northwest Territories","Solar","Primary Fuel",2017,1.615
"Canada Net-zero","Northwest Territories","Solar","Primary Fuel",2018,2.015
"Canada Net-zero","Northwest Territories","Solar","Primary Fuel",2019,2.015
"Canada Net-zero","Nunavut","Solar","Primary Fuel",2005,0
"Canada Net-zero","Nunavut","Solar","Primary Fuel",2006,0
"Canada Net-zero","Nunavut","Solar","Primary Fuel",2007,0
"Canada Net-zero","Nunavut","Solar","Primary Fuel",2008,0
"Canada Net-zero","Nunavut","Solar","Primary Fuel",2009,0
"Canada Net-zero","Nunavut","Solar","Primary Fuel",2010,0
"Canada Net-zero","Nunavut","Solar","Primary Fuel",2011,0
"Canada Net-zero","Nunavut","Solar","Primary Fuel",2012,0
"Canada Net-zero","Nunavut","Solar","Primary Fuel",2013,0.033
"Canada Net-zero","Nunavut","Solar","Primary Fuel",2014,0.033
"Canada Net-zero","Nunavut","Solar","Primary Fuel",2015,0.033
"Canada Net-zero","Nunavut","Solar","Primary Fuel",2016,0.033
"Canada Net-zero","Nunavut","Solar","Primary Fuel",2017,0.033
"Canada Net-zero","Nunavut","Solar","Primary Fuel",2018,0.033
"Canada Net-zero","Nunavut","Solar","Primary Fuel",2019,0.033
"Canada Net-zero","Ontario","Solar","Primary Fuel",2005,16.75
"Canada Net-zero","Ontario","Solar","Primary Fuel",2006,20.48
"Canada Net-zero","Ontario","Solar","Primary Fuel",2007,25.77
"Canada Net-zero","Ontario","Solar","Primary Fuel",2008,32.72
"Canada Net-zero","Ontario","Solar","Primary Fuel",2009,94.57
"Canada Net-zero","Ontario","Solar","Primary Fuel",2010,281.13
"Canada Net-zero","Ontario","Solar","Primary Fuel",2011,419.4
"Canada Net-zero","Ontario","Solar","Primary Fuel",2012,645.3
"Canada Net-zero","Ontario","Solar","Primary Fuel",2013,1018.7
"Canada Net-zero","Ontario","Solar","Primary Fuel",2014,1509.4
"Canada Net-zero","Ontario","Solar","Primary Fuel",2015,2119
"Canada Net-zero","Ontario","Solar","Primary Fuel",2016,2400.46
"Canada Net-zero","Ontario","Solar","Primary Fuel",2017,2580.46
"Canada Net-zero","Ontario","Solar","Primary Fuel",2018,2669.46
"Canada Net-zero","Ontario","Solar","Primary Fuel",2019,2669.46
"Canada Net-zero","Prince Edward Island","Solar","Primary Fuel",2005,0
"Canada Net-zero","Prince Edward Island","Solar","Primary Fuel",2006,0
"Canada Net-zero","Prince Edward Island","Solar","Primary Fuel",2007,0
"Canada Net-zero","Prince Edward Island","Solar","Primary Fuel",2008,0
"Canada Net-zero","Prince Edward Island","Solar","Primary Fuel",2009,0
"Canada Net-zero","Prince Edward Island","Solar","Primary Fuel",2010,0
"Canada Net-zero","Prince Edward Island","Solar","Primary Fuel",2011,0
"Canada Net-zero","Prince Edward Island","Solar","Primary Fuel",2012,0
"Canada Net-zero","Prince Edward Island","Solar","Primary Fuel",2013,0
"Canada Net-zero","Prince Edward Island","Solar","Primary Fuel",2014,0
"Canada Net-zero","Prince Edward Island","Solar","Primary Fuel",2015,0
"Canada Net-zero","Prince Edward Island","Solar","Primary Fuel",2016,0
"Canada Net-zero","Prince Edward Island","Solar","Primary Fuel",2017,0
"Canada Net-zero","Prince Edward Island","Solar","Primary Fuel",2018,0
"Canada Net-zero","Prince Edward Island","Solar","Primary Fuel",2019,0
"Canada Net-zero","Quebec","Solar","Primary Fuel",2005,0
"Canada Net-zero","Quebec","Solar","Primary Fuel",2006,0
"Canada Net-zero","Quebec","Solar","Primary Fuel",2007,0
"Canada Net-zero","Quebec","Solar","Primary Fuel",2008,0
"Canada Net-zero","Quebec","Solar","Primary Fuel",2009,0
"Canada Net-zero","Quebec","Solar","Primary Fuel",2010,0
"Canada Net-zero","Quebec","Solar","Primary Fuel",2011,0
"Canada Net-zero","Quebec","Solar","Primary Fuel",2012,0
"Canada Net-zero","Quebec","Solar","Primary Fuel",2013,0.297
"Canada Net-zero","Quebec","Solar","Primary Fuel",2014,0.297
"Canada Net-zero","Quebec","Solar","Primary Fuel",2015,0.297
"Canada Net-zero","Quebec","Solar","Primary Fuel",2016,0.297
"Canada Net-zero","Quebec","Solar","Primary Fuel",2017,0.297
"Canada Net-zero","Quebec","Solar","Primary Fuel",2018,0.297
"Canada Net-zero","Quebec","Solar","Primary Fuel",2019,0.297
"Canada Net-zero","Saskatchewan","Solar","Primary Fuel",2005,0
"Canada Net-zero","Saskatchewan","Solar","Primary Fuel",2006,0
"Canada Net-zero","Saskatchewan","Solar","Primary Fuel",2007,0
"Canada Net-zero","Saskatchewan","Solar","Primary Fuel",2008,0
"Canada Net-zero","Saskatchewan","Solar","Primary Fuel",2009,0
"Canada Net-zero","Saskatchewan","Solar","Primary Fuel",2010,0
"Canada Net-zero","Saskatchewan","Solar","Primary Fuel",2011,0
"Canada Net-zero","Saskatchewan","Solar","Primary Fuel",2012,0
"Canada Net-zero","Saskatchewan","Solar","Primary Fuel",2013,0
"Canada Net-zero","Saskatchewan","Solar","Primary Fuel",2014,4
"Canada Net-zero","Saskatchewan","Solar","Primary Fuel",2015,4
"Canada Net-zero","Saskatchewan","Solar","Primary Fuel",2016,1.719
"Canada Net-zero","Saskatchewan","Solar","Primary Fuel",2017,1.719
"Canada Net-zero","Saskatchewan","Solar","Primary Fuel",2018,1.719
"Canada Net-zero","Saskatchewan","Solar","Primary Fuel",2019,1.719
"Canada Net-zero","Yukon","Solar","Primary Fuel",2005,0
"Canada Net-zero","Yukon","Solar","Primary Fuel",2006,0
"Canada Net-zero","Yukon","Solar","Primary Fuel",2007,0
"Canada Net-zero","Yukon","Solar","Primary Fuel",2008,0
"Canada Net-zero","Yukon","Solar","Primary Fuel",2009,0
"Canada Net-zero","Yukon","Solar","Primary Fuel",2010,0
"Canada Net-zero","Yukon","Solar","Primary Fuel",2011,0
"Canada Net-zero","Yukon","Solar","Primary Fuel",2012,0
"Canada Net-zero","Yukon","Solar","Primary Fuel",2013,0.044
"Canada Net-zero","Yukon","Solar","Primary Fuel",2014,0.044
"Canada Net-zero","Yukon","Solar","Primary Fuel",2015,0.044
"Canada Net-zero","Yukon","Solar","Primary Fuel",2016,0.044
"Canada Net-zero","Yukon","Solar","Primary Fuel",2017,0.044
"Canada Net-zero","Yukon","Solar","Primary Fuel",2018,0.044
"Canada Net-zero","Yukon","Solar","Primary Fuel",2019,0.044
"Canada Net-zero","Alberta","Uranium","Primary Fuel",2005,0
"Canada Net-zero","Alberta","Uranium","Primary Fuel",2006,0
"Canada Net-zero","Alberta","Uranium","Primary Fuel",2007,0
"Canada Net-zero","Alberta","Uranium","Primary Fuel",2008,0
"Canada Net-zero","Alberta","Uranium","Primary Fuel",2009,0
"Canada Net-zero","Alberta","Uranium","Primary Fuel",2010,0
"Canada Net-zero","Alberta","Uranium","Primary Fuel",2011,0
"Canada Net-zero","Alberta","Uranium","Primary Fuel",2012,0
"Canada Net-zero","Alberta","Uranium","Primary Fuel",2013,0
"Canada Net-zero","Alberta","Uranium","Primary Fuel",2014,0
"Canada Net-zero","Alberta","Uranium","Primary Fuel",2015,0
"Canada Net-zero","Alberta","Uranium","Primary Fuel",2016,0
"Canada Net-zero","Alberta","Uranium","Primary Fuel",2017,0
"Canada Net-zero","Alberta","Uranium","Primary Fuel",2018,0
"Canada Net-zero","Alberta","Uranium","Primary Fuel",2019,0
"Canada Net-zero","British Columbia","Uranium","Primary Fuel",2005,0
"Canada Net-zero","British Columbia","Uranium","Primary Fuel",2006,0
"Canada Net-zero","British Columbia","Uranium","Primary Fuel",2007,0
"Canada Net-zero","British Columbia","Uranium","Primary Fuel",2008,0
"Canada Net-zero","British Columbia","Uranium","Primary Fuel",2009,0
"Canada Net-zero","British Columbia","Uranium","Primary Fuel",2010,0
"Canada Net-zero","British Columbia","Uranium","Primary Fuel",2011,0
"Canada Net-zero","British Columbia","Uranium","Primary Fuel",2012,0
"Canada Net-zero","British Columbia","Uranium","Primary Fuel",2013,0
"Canada Net-zero","British Columbia","Uranium","Primary Fuel",2014,0
"Canada Net-zero","British Columbia","Uranium","Primary Fuel",2015,0
"Canada Net-zero","British Columbia","Uranium","Primary Fuel",2016,0
"Canada Net-zero","British Columbia","Uranium","Primary Fuel",2017,0
"Canada Net-zero","British Columbia","Uranium","Primary Fuel",2018,0
"Canada Net-zero","British Columbia","Uranium","Primary Fuel",2019,0
"Canada Net-zero","Canada","Uranium","Primary Fuel",2005,12805
"Canada Net-zero","Canada","Uranium","Primary Fuel",2006,13345
"Canada Net-zero","Canada","Uranium","Primary Fuel",2007,13345
"Canada Net-zero","Canada","Uranium","Primary Fuel",2008,13345
"Canada Net-zero","Canada","Uranium","Primary Fuel",2009,13345
"Canada Net-zero","Canada","Uranium","Primary Fuel",2010,13345
"Canada Net-zero","Canada","Uranium","Primary Fuel",2011,13345
"Canada Net-zero","Canada","Uranium","Primary Fuel",2012,13345
"Canada Net-zero","Canada","Uranium","Primary Fuel",2013,14345
"Canada Net-zero","Canada","Uranium","Primary Fuel",2014,14273
"Canada Net-zero","Canada","Uranium","Primary Fuel",2015,14273
"Canada Net-zero","Canada","Uranium","Primary Fuel",2016,14273
"Canada Net-zero","Canada","Uranium","Primary Fuel",2017,13338
"Canada Net-zero","Canada","Uranium","Primary Fuel",2018,13338
"Canada Net-zero","Canada","Uranium","Primary Fuel",2019,13338
"Canada Net-zero","Manitoba","Uranium","Primary Fuel",2005,0
"Canada Net-zero","Manitoba","Uranium","Primary Fuel",2006,0
"Canada Net-zero","Manitoba","Uranium","Primary Fuel",2007,0
"Canada Net-zero","Manitoba","Uranium","Primary Fuel",2008,0
"Canada Net-zero","Manitoba","Uranium","Primary Fuel",2009,0
"Canada Net-zero","Manitoba","Uranium","Primary Fuel",2010,0
"Canada Net-zero","Manitoba","Uranium","Primary Fuel",2011,0
"Canada Net-zero","Manitoba","Uranium","Primary Fuel",2012,0
"Canada Net-zero","Manitoba","Uranium","Primary Fuel",2013,0
"Canada Net-zero","Manitoba","Uranium","Primary Fuel",2014,0
"Canada Net-zero","Manitoba","Uranium","Primary Fuel",2015,0
"Canada Net-zero","Manitoba","Uranium","Primary Fuel",2016,0
"Canada Net-zero","Manitoba","Uranium","Primary Fuel",2017,0
"Canada Net-zero","Manitoba","Uranium","Primary Fuel",2018,0
"Canada Net-zero","Manitoba","Uranium","Primary Fuel",2019,0
"Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2005,680
"Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2006,680
"Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2007,680
"Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2008,680
"Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2009,680
"Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2010,680
"Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2011,680
"Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2012,680
"Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2013,705
"Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2014,705
"Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2015,705
"Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2016,705
"Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2017,705
"Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2018,705
"Canada Net-zero","New Brunswick","Uranium","Primary Fuel",2019,705
"Canada Net-zero","Newfoundland and Labrador","Uranium","Primary Fuel",2005,0
"Canada Net-zero","Newfoundland and Labrador","Uranium","Primary Fuel",2006,0
"Canada Net-zero","Newfoundland and Labrador","Uranium","Primary Fuel",2007,0
"Canada Net-zero","Newfoundland and Labrador","Uranium","Primary Fuel",2008,0
"Canada Net-zero","Newfoundland and Labrador","Uranium","Primary Fuel",2009,0
"Canada Net-zero","Newfoundland and Labrador","Uranium","Primary Fuel",2010,0
"Canada Net-zero","Newfoundland and Labrador","Uranium","Primary Fuel",2011,0
"Canada Net-zero","Newfoundland and Labrador","Uranium","Primary Fuel",2012,0
"Canada Net-zero","Newfoundland and Labrador","Uranium","Primary Fuel",2013,0
"Canada Net-zero","Newfoundland and Labrador","Uranium","Primary Fuel",2014,0
"Canada Net-zero","Newfoundland and Labrador","Uranium","Primary Fuel",2015,0
"Canada Net-zero","Newfoundland and Labrador","Uranium","Primary Fuel",2016,0
"Canada Net-zero","Newfoundland and Labrador","Uranium","Primary Fuel",2017,0
"Canada Net-zero","Newfoundland and Labrador","Uranium","Primary Fuel",2018,0
"Canada Net-zero","Newfoundland and Labrador","Uranium","Primary Fuel",2019,0
"Canada Net-zero","Nova Scotia","Uranium","Primary Fuel",2005,0
"Canada Net-zero","Nova Scotia","Uranium","Primary Fuel",2006,0
"Canada Net-zero","Nova Scotia","Uranium","Primary Fuel",2007,0
"Canada Net-zero","Nova Scotia","Uranium","Primary Fuel",2008,0
"Canada Net-zero","Nova Scotia","Uranium","Primary Fuel",2009,0
"Canada Net-zero","Nova Scotia","Uranium","Primary Fuel",2010,0
"Canada Net-zero","Nova Scotia","Uranium","Primary Fuel",2011,0
"Canada Net-zero","Nova Scotia","Uranium","Primary Fuel",2012,0
"Canada Net-zero","Nova Scotia","Uranium","Primary Fuel",2013,0
"Canada Net-zero","Nova Scotia","Uranium","Primary Fuel",2014,0
"Canada Net-zero","Nova Scotia","Uranium","Primary Fuel",2015,0
"Canada Net-zero","Nova Scotia","Uranium","Primary Fuel",2016,0
"Canada Net-zero","Nova Scotia","Uranium","Primary Fuel",2017,0
"Canada Net-zero","Nova Scotia","Uranium","Primary Fuel",2018,0
"Canada Net-zero","Nova Scotia","Uranium","Primary Fuel",2019,0
"Canada Net-zero","Northwest Territories","Uranium","Primary Fuel",2005,0
"Canada Net-zero","Northwest Territories","Uranium","Primary Fuel",2006,0
"Canada Net-zero","Northwest Territories","Uranium","Primary Fuel",2007,0
"Canada Net-zero","Northwest Territories","Uranium","Primary Fuel",2008,0
"Canada Net-zero","Northwest Territories","Uranium","Primary Fuel",2009,0
"Canada Net-zero","Northwest Territories","Uranium","Primary Fuel",2010,0
"Canada Net-zero","Northwest Territories","Uranium","Primary Fuel",2011,0
"Canada Net-zero","Northwest Territories","Uranium","Primary Fuel",2012,0
"Canada Net-zero","Northwest Territories","Uranium","Primary Fuel",2013,0
"Canada Net-zero","Northwest Territories","Uranium","Primary Fuel",2014,0
"Canada Net-zero","Northwest Territories","Uranium","Primary Fuel",2015,0
"Canada Net-zero","Northwest Territories","Uranium","Primary Fuel",2016,0
"Canada Net-zero","Northwest Territories","Uranium","Primary Fuel",2017,0
"Canada Net-zero","Northwest Territories","Uranium","Primary Fuel",2018,0
"Canada Net-zero","Northwest Territories","Uranium","Primary Fuel",2019,0
"Canada Net-zero","Nunavut","Uranium","Primary Fuel",2005,0
"Canada Net-zero","Nunavut","Uranium","Primary Fuel",2006,0
"Canada Net-zero","Nunavut","Uranium","Primary Fuel",2007,0
"Canada Net-zero","Nunavut","Uranium","Primary Fuel",2008,0
"Canada Net-zero","Nunavut","Uranium","Primary Fuel",2009,0
"Canada Net-zero","Nunavut","Uranium","Primary Fuel",2010,0
"Canada Net-zero","Nunavut","Uranium","Primary Fuel",2011,0
"Canada Net-zero","Nunavut","Uranium","Primary Fuel",2012,0
"Canada Net-zero","Nunavut","Uranium","Primary Fuel",2013,0
"Canada Net-zero","Nunavut","Uranium","Primary Fuel",2014,0
"Canada Net-zero","Nunavut","Uranium","Primary Fuel",2015,0
"Canada Net-zero","Nunavut","Uranium","Primary Fuel",2016,0
"Canada Net-zero","Nunavut","Uranium","Primary Fuel",2017,0
"Canada Net-zero","Nunavut","Uranium","Primary Fuel",2018,0
"Canada Net-zero","Nunavut","Uranium","Primary Fuel",2019,0
"Canada Net-zero","Ontario","Uranium","Primary Fuel",2005,11450
"Canada Net-zero","Ontario","Uranium","Primary Fuel",2006,11990
"Canada Net-zero","Ontario","Uranium","Primary Fuel",2007,11990
"Canada Net-zero","Ontario","Uranium","Primary Fuel",2008,11990
"Canada Net-zero","Ontario","Uranium","Primary Fuel",2009,11990
"Canada Net-zero","Ontario","Uranium","Primary Fuel",2010,11990
"Canada Net-zero","Ontario","Uranium","Primary Fuel",2011,11990
"Canada Net-zero","Ontario","Uranium","Primary Fuel",2012,11990
"Canada Net-zero","Ontario","Uranium","Primary Fuel",2013,13640
"Canada Net-zero","Ontario","Uranium","Primary Fuel",2014,13568
"Canada Net-zero","Ontario","Uranium","Primary Fuel",2015,13568
"Canada Net-zero","Ontario","Uranium","Primary Fuel",2016,13568
"Canada Net-zero","Ontario","Uranium","Primary Fuel",2017,12633
"Canada Net-zero","Ontario","Uranium","Primary Fuel",2018,12633
"Canada Net-zero","Ontario","Uranium","Primary Fuel",2019,12633
"Canada Net-zero","Prince Edward Island","Uranium","Primary Fuel",2005,0
"Canada Net-zero","Prince Edward Island","Uranium","Primary Fuel",2006,0
"Canada Net-zero","Prince Edward Island","Uranium","Primary Fuel",2007,0
"Canada Net-zero","Prince Edward Island","Uranium","Primary Fuel",2008,0
"Canada Net-zero","Prince Edward Island","Uranium","Primary Fuel",2009,0
"Canada Net-zero","Prince Edward Island","Uranium","Primary Fuel",2010,0
"Canada Net-zero","Prince Edward Island","Uranium","Primary Fuel",2011,0
"Canada Net-zero","Prince Edward Island","Uranium","Primary Fuel",2012,0
"Canada Net-zero","Prince Edward Island","Uranium","Primary Fuel",2013,0
"Canada Net-zero","Prince Edward Island","Uranium","Primary Fuel",2014,0
"Canada Net-zero","Prince Edward Island","Uranium","Primary Fuel",2015,0
"Canada Net-zero","Prince Edward Island","Uranium","Primary Fuel",2016,0
"Canada Net-zero","Prince Edward Island","Uranium","Primary Fuel",2017,0
"Canada Net-zero","Prince Edward Island","Uranium","Primary Fuel",2018,0
"Canada Net-zero","Prince Edward Island","Uranium","Primary Fuel",2019,0
"Canada Net-zero","Quebec","Uranium","Primary Fuel",2005,675
"Canada Net-zero","Quebec","Uranium","Primary Fuel",2006,675
"Canada Net-zero","Quebec","Uranium","Primary Fuel",2007,675
"Canada Net-zero","Quebec","Uranium","Primary Fuel",2008,675
"Canada Net-zero","Quebec","Uranium","Primary Fuel",2009,675
"Canada Net-zero","Quebec","Uranium","Primary Fuel",2010,675
"Canada Net-zero","Quebec","Uranium","Primary Fuel",2011,675
"Canada Net-zero","Quebec","Uranium","Primary Fuel",2012,675
"Canada Net-zero","Quebec","Uranium","Primary Fuel",2013,0
"Canada Net-zero","Quebec","Uranium","Primary Fuel",2014,0
"Canada Net-zero","Quebec","Uranium","Primary Fuel",2015,0
"Canada Net-zero","Quebec","Uranium","Primary Fuel",2016,0
"Canada Net-zero","Quebec","Uranium","Primary Fuel",2017,0
"Canada Net-zero","Quebec","Uranium","Primary Fuel",2018,0
"Canada Net-zero","Quebec","Uranium","Primary Fuel",2019,0
"Canada Net-zero","Saskatchewan","Uranium","Primary Fuel",2005,0
"Canada Net-zero","Saskatchewan","Uranium","Primary Fuel",2006,0
"Canada Net-zero","Saskatchewan","Uranium","Primary Fuel",2007,0
"Canada Net-zero","Saskatchewan","Uranium","Primary Fuel",2008,0
"Canada Net-zero","Saskatchewan","Uranium","Primary Fuel",2009,0
"Canada Net-zero","Saskatchewan","Uranium","Primary Fuel",2010,0
"Canada Net-zero","Saskatchewan","Uranium","Primary Fuel",2011,0
"Canada Net-zero","Saskatchewan","Uranium","Primary Fuel",2012,0
"Canada Net-zero","Saskatchewan","Uranium","Primary Fuel",2013,0
"Canada Net-zero","Saskatchewan","Uranium","Primary Fuel",2014,0
"Canada Net-zero","Saskatchewan","Uranium","Primary Fuel",2015,0
"Canada Net-zero","Saskatchewan","Uranium","Primary Fuel",2016,0
"Canada Net-zero","Saskatchewan","Uranium","Primary Fuel",2017,0
"Canada Net-zero","Saskatchewan","Uranium","Primary Fuel",2018,0
"Canada Net-zero","Saskatchewan","Uranium","Primary Fuel",2019,0
"Canada Net-zero","Yukon","Uranium","Primary Fuel",2005,0
"Canada Net-zero","Yukon","Uranium","Primary Fuel",2006,0
"Canada Net-zero","Yukon","Uranium","Primary Fuel",2007,0
"Canada Net-zero","Yukon","Uranium","Primary Fuel",2008,0
"Canada Net-zero","Yukon","Uranium","Primary Fuel",2009,0
"Canada Net-zero","Yukon","Uranium","Primary Fuel",2010,0
"Canada Net-zero","Yukon","Uranium","Primary Fuel",2011,0
"Canada Net-zero","Yukon","Uranium","Primary Fuel",2012,0
"Canada Net-zero","Yukon","Uranium","Primary Fuel",2013,0
"Canada Net-zero","Yukon","Uranium","Primary Fuel",2014,0
"Canada Net-zero","Yukon","Uranium","Primary Fuel",2015,0
"Canada Net-zero","Yukon","Uranium","Primary Fuel",2016,0
"Canada Net-zero","Yukon","Uranium","Primary Fuel",2017,0
"Canada Net-zero","Yukon","Uranium","Primary Fuel",2018,0
"Canada Net-zero","Yukon","Uranium","Primary Fuel",2019,0
"Canada Net-zero","Alberta","Wind","Primary Fuel",2005,251
"Canada Net-zero","Alberta","Wind","Primary Fuel",2006,386
"Canada Net-zero","Alberta","Wind","Primary Fuel",2007,525
"Canada Net-zero","Alberta","Wind","Primary Fuel",2008,525
"Canada Net-zero","Alberta","Wind","Primary Fuel",2009,591
"Canada Net-zero","Alberta","Wind","Primary Fuel",2010,723
"Canada Net-zero","Alberta","Wind","Primary Fuel",2011,864.9999
"Canada Net-zero","Alberta","Wind","Primary Fuel",2012,1088
"Canada Net-zero","Alberta","Wind","Primary Fuel",2013,1088
"Canada Net-zero","Alberta","Wind","Primary Fuel",2014,1434
"Canada Net-zero","Alberta","Wind","Primary Fuel",2015,1463
"Canada Net-zero","Alberta","Wind","Primary Fuel",2016,1466.76
"Canada Net-zero","Alberta","Wind","Primary Fuel",2017,1466.76
"Canada Net-zero","Alberta","Wind","Primary Fuel",2018,1466.76
"Canada Net-zero","Alberta","Wind","Primary Fuel",2019,1466.76
"Canada Net-zero","British Columbia","Wind","Primary Fuel",2005,0
"Canada Net-zero","British Columbia","Wind","Primary Fuel",2006,0
"Canada Net-zero","British Columbia","Wind","Primary Fuel",2007,0
"Canada Net-zero","British Columbia","Wind","Primary Fuel",2008,0
"Canada Net-zero","British Columbia","Wind","Primary Fuel",2009,102
"Canada Net-zero","British Columbia","Wind","Primary Fuel",2010,102
"Canada Net-zero","British Columbia","Wind","Primary Fuel",2011,246
"Canada Net-zero","British Columbia","Wind","Primary Fuel",2012,246
"Canada Net-zero","British Columbia","Wind","Primary Fuel",2013,388
