"Scenario","Vehicle","Country","Year","Sales","EV_Stock","LIB_reuse_EV","LIB_recycling","LIB_Available","add_LIB","add_LIB_vector","LIB_Available_vector","LIB_recycling_vector","EV_Stock_vector"
"Baseline","Vans","Canada",2025,10709,15958,0,14,5,14,"7|3|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","3|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","7|3|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","10706|2896|2273|83|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Baseline","Vans","Canada",2026,12835,28768,0,29,12,29,"8|11|5|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","3|4|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","8|11|5|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","12832|10695|2891|2267|82|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Baseline","Vans","Canada",2027,14827,43554,0,55,22,55,"9|13|17|7|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","4|5|7|3|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","9|13|17|7|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","14823|12818|10688|2884|2258|82|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Baseline","Vans","Canada",2028,22007,65494,0,101,41,101,"14|15|20|26|11|14|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","6|6|8|11|5|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","14|15|20|26|11|14|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","22001|14808|12810|10678|2872|2244|81|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Baseline","Vans","Canada",2029,27915,93337,1,175,70,174,"18|22|23|32|41|17|21|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","6|9|9|13|17|7|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","18|22|23|32|41|17|21|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","27908|21992|14798|12797|10661|2865|2235|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Baseline","Vans","Canada",2030,38987,132202,34,298,87,264,"25|28|35|36|49|64|27|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","5|6|7|7|11|26|11|13|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","25|28|35|36|49|64|27|32|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","38977|27897|21978|14784|12777|10635|2854|2222|78|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Baseline","Vans","Canada",2031,48126,180101,92,493,109,401,"31|39|44|54|57|77|99|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","7|8|9|11|12|16|20|8|18|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","31|39|44|54|57|77|99|41|49|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","48114|38961|27879|21957|14760|12746|10594|2837|2179|75|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Baseline","Vans","Canada",2032,53946,233704,164,794,164,630,"34|48|61|69|85|89|119|126|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","8|10|13|14|17|18|24|31|13|15|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","35|48|61|69|85|89|119|152|62|71|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","53932|48094|38936|27851|21922|14724|12697|10531|2809|2137|71|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Baseline","Vans","Canada",2033,60922,294090,260,1252,262,993,"39|54|76|96|107|132|137|182|170|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","9|12|16|20|22|27|28|37|47|19|21|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","39|54|76|96|108|132|137|182|229|92|102|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","60906|53910|48064|38898|27807|21868|14668|12621|10433|2762|2088|65|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Baseline","Vans","Canada",2034,63088,356350,377,1930,439,1552,"40|61|85|118|150|167|204|210|263|254|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","11|14|19|26|32|35|42|44|57|70|27|59|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","41|62|85|119|151|168|204|210|275|339|131|140|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","63072|60882|53876|48016|38837|27739|21784|14580|12505|10285|2696|2022|57|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
